instance_id,music_genre
1,Anime
2,Jazz
3,Classical
4,Alternative
5,Alternative
6,Rap
7,Hip-Hop
8,Rock
9,Classical
10,Alternative
11,Electronic
12,Rock
13,Alternative
14,Rap
15,Hip-Hop
16,Rock
17,Classical
18,Country
19,Blues
20,Classical
21,Country
22,Anime
23,Jazz
24,Blues
25,Country
26,Blues
27,Rap
28,Anime
29,Hip-Hop
30,Rap
31,Rap
32,Rap
33,Blues
34,Rap
35,Classical
36,Anime
37,Rap
38,Anime
39,Rap
40,Rock
41,Country
42,Rap
43,Country
44,Blues
45,Anime
46,Hip-Hop
47,Jazz
48,Classical
49,Hip-Hop
50,Anime
51,Electronic
52,Hip-Hop
53,Anime
54,Classical
55,Hip-Hop
56,Jazz
57,Electronic
58,Electronic
59,Rock
60,Blues
61,Rock
62,Country
63,Alternative
64,Electronic
65,Rap
66,Rap
67,Jazz
68,Classical
69,Jazz
70,Jazz
71,Rock
72,Jazz
73,Rock
74,Classical
75,Country
76,Hip-Hop
77,Blues
78,Jazz
79,Jazz
80,Rock
81,Blues
82,Alternative
83,Hip-Hop
84,Alternative
85,Classical
86,Anime
87,Rock
88,Alternative
89,Hip-Hop
90,Hip-Hop
91,Alternative
92,Rock
93,Hip-Hop
94,Classical
95,Hip-Hop
96,Blues
97,Rock
98,Rock
99,Country
100,Rock
101,Jazz
102,Blues
103,Alternative
104,Electronic
105,Hip-Hop
106,Rock
107,Rock
108,Hip-Hop
109,Anime
110,Rock
111,Blues
112,Rock
113,Rap
114,Jazz
115,Jazz
116,Hip-Hop
117,Anime
118,Anime
119,Hip-Hop
120,Alternative
121,Classical
122,Anime
123,Classical
124,Classical
125,Electronic
126,Country
127,Rock
128,Rock
129,Rock
130,Electronic
131,Country
132,Rock
133,Anime
134,Country
135,Country
136,Country
137,Rap
138,Rock
139,Anime
140,Classical
141,Rap
142,Jazz
143,Rock
144,Rock
145,Country
146,Country
147,Electronic
148,Rock
149,Country
150,Hip-Hop
151,Rock
152,Classical
153,Rock
154,Anime
155,Country
156,Classical
157,Country
158,Hip-Hop
159,Anime
160,Blues
161,Country
162,Anime
163,Classical
164,Rap
165,Alternative
166,Alternative
167,Alternative
168,Rock
169,Rap
170,Electronic
171,Rap
172,Anime
173,Blues
174,Alternative
175,Rap
176,Country
177,Hip-Hop
178,Anime
179,Classical
180,Anime
181,Jazz
182,Anime
183,Electronic
184,Hip-Hop
185,Rap
186,Electronic
187,Rock
188,Rock
189,Country
190,Country
191,Classical
192,Classical
193,Hip-Hop
194,Classical
195,Jazz
196,Rock
197,Blues
198,Country
199,Country
200,Hip-Hop
201,Electronic
202,Classical
203,Rock
204,Alternative
205,Rap
206,Electronic
207,Rock
208,Hip-Hop
209,Alternative
210,Country
211,Classical
212,Country
213,Blues
214,Country
215,Country
216,Hip-Hop
217,Alternative
218,Hip-Hop
219,Anime
220,Jazz
221,Jazz
222,Alternative
223,Electronic
224,Country
225,Rap
226,Rock
227,Blues
228,Country
229,Alternative
230,Classical
231,Country
232,Classical
233,Rock
234,Anime
235,Anime
236,Blues
237,Anime
238,Country
239,Classical
240,Rap
241,Jazz
242,Electronic
243,Rock
244,Jazz
245,Country
246,Rap
247,Country
248,Blues
249,Country
250,Hip-Hop
251,Electronic
252,Country
253,Anime
254,Electronic
255,Blues
256,Alternative
257,Electronic
258,Rap
259,Blues
260,Rock
261,Rap
262,Anime
263,Country
264,Rock
265,Country
266,Anime
267,Rap
268,Anime
269,Rock
270,Anime
271,Country
272,Alternative
273,Classical
274,Rock
275,Classical
276,Country
277,Rock
278,Rock
279,Anime
280,Blues
281,Jazz
282,Country
283,Hip-Hop
284,Country
285,Country
286,Jazz
287,Rock
288,Blues
289,Rock
290,Jazz
291,Hip-Hop
292,Rap
293,Rock
294,Country
295,Electronic
296,Alternative
297,Jazz
298,Classical
299,Rock
300,Jazz
301,Jazz
