instance_id,music_genre
1,Classical
2,Anime
3,Classical
4,Anime
5,Electronic
6,Electronic
7,Electronic
8,Anime
9,Classical
10,Anime
11,Electronic
12,Blues
13,Electronic
14,Jazz
15,Electronic
16,Jazz
17,Classical
18,Anime
19,Alternative
20,Classical
21,Anime
22,Anime
23,Classical
24,Anime
25,Country
26,Anime
27,Alternative
28,Blues
29,Alternative
30,Electronic
31,Electronic
32,Alternative
33,Classical
34,Electronic
35,Classical
36,Anime
37,Electronic
38,Classical
39,Blues
40,Electronic
41,Anime
42,Classical
43,Electronic
44,Electronic
45,Electronic
46,Electronic
47,Classical
48,Anime
49,Alternative
50,Electronic
51,Anime
52,Anime
53,Anime
54,Classical
55,Electronic
56,Classical
57,Anime
58,Electronic
59,Jazz
60,Electronic
61,Blues
62,Classical
63,Electronic
64,Alternative
65,Anime
66,Alternative
67,Classical
68,Classical
69,Electronic
70,Classical
71,Jazz
72,Classical
73,Blues
74,Classical
75,Electronic
76,Alternative
77,Classical
78,Anime
79,Electronic
80,Anime
81,Electronic
82,Alternative
83,Electronic
84,Jazz
85,Classical
86,Blues
87,Electronic
88,Anime
89,Alternative
90,Electronic
91,Anime
92,Electronic
93,Alternative
94,Classical
95,Electronic
96,Classical
97,Classical
98,Classical
99,Anime
100,Anime
101,Electronic
102,Electronic
103,Blues
104,Anime
105,Electronic
106,Blues
107,Blues
108,Alternative
109,Anime
110,Anime
111,Jazz
112,Blues
113,Jazz
114,Anime
115,Anime
116,Electronic
117,Jazz
118,Blues
119,Alternative
120,Blues
121,Classical
122,Classical
123,Classical
124,Classical
125,Electronic
126,Blues
127,Electronic
128,Blues
129,Anime
130,Electronic
131,Jazz
132,Anime
133,Anime
134,Electronic
135,Anime
136,Jazz
137,Alternative
138,Blues
139,Jazz
140,Classical
141,Blues
142,Blues
143,Anime
144,Blues
145,Electronic
146,Blues
147,Electronic
148,Electronic
149,Electronic
150,Electronic
151,Blues
152,Classical
153,Anime
154,Electronic
155,Country
156,Classical
157,Electronic
158,Alternative
159,Electronic
160,Blues
161,Anime
162,Anime
163,Classical
164,Alternative
165,Alternative
166,Alternative
167,Anime
168,Classical
169,Blues
170,Anime
171,Alternative
172,Anime
173,Electronic
174,Anime
175,Electronic
176,Blues
177,Electronic
178,Anime
179,Classical
180,Electronic
181,Classical
182,Blues
183,Anime
184,Electronic
185,Electronic
186,Anime
187,Anime
188,Electronic
189,Blues
190,Classical
191,Classical
192,Classical
193,Electronic
194,Classical
195,Anime
196,Anime
197,Classical
198,Electronic
199,Blues
200,Jazz
201,Blues
202,Classical
203,Blues
204,Anime
205,Electronic
206,Anime
207,Electronic
208,Electronic
209,Anime
210,Anime
211,Classical
212,Blues
213,Classical
214,Electronic
215,Electronic
216,Electronic
217,Anime
218,Electronic
219,Blues
220,Anime
221,Classical
222,Electronic
223,Anime
224,Anime
225,Electronic
226,Electronic
227,Anime
228,Anime
229,Anime
230,Classical
231,Anime
232,Classical
233,Blues
