instance_id,music_genre
1,Anime
2,Electronic
3,Classical
4,Alternative
5,Country
6,Rock
7,Rap
8,Rock
9,Classical
10,Alternative
11,Electronic
12,Rock
13,Electronic
14,Rock
15,Hip-Hop
16,Rock
17,Classical
18,Country
19,Blues
20,Classical
21,Country
22,Anime
23,Jazz
24,Blues
25,Blues
26,Anime
27,Rap
28,Anime
29,Hip-Hop
30,Hip-Hop
31,Rap
32,Rock
33,Blues
34,Hip-Hop
35,Classical
36,Anime
37,Rap
38,Classical
39,Rock
40,Rock
41,Country
42,Rock
43,Hip-Hop
44,Blues
45,Anime
46,Rap
47,Blues
48,Jazz
49,Rap
50,Anime
51,Electronic
52,Hip-Hop
53,Electronic
54,Classical
55,Hip-Hop
56,Jazz
57,Electronic
58,Electronic
59,Rock
60,Country
61,Rock
62,Jazz
63,Country
64,Country
65,Rock
66,Hip-Hop
67,Rock
68,Classical
69,Country
70,Jazz
71,Rock
72,Jazz
73,Rock
74,Classical
75,Country
76,Hip-Hop
77,Blues
78,Jazz
79,Jazz
80,Rock
81,Blues
82,Country
83,Hip-Hop
84,Alternative
85,Classical
86,Anime
87,Rock
88,Rock
89,Hip-Hop
90,Rock
91,Alternative
92,Rap
93,Hip-Hop
94,Classical
95,Rap
96,Blues
97,Rock
98,Rock
99,Hip-Hop
100,Rock
101,Jazz
102,Blues
103,Jazz
104,Electronic
105,Country
106,Rock
107,Rap
108,Hip-Hop
109,Anime
110,Electronic
111,Blues
112,Rock
113,Rock
114,Jazz
115,Jazz
116,Rap
117,Anime
118,Blues
119,Rap
120,Alternative
121,Classical
122,Anime
123,Classical
124,Anime
125,Electronic
126,Country
127,Hip-Hop
128,Alternative
129,Rock
130,Anime
131,Country
132,Rock
133,Blues
134,Alternative
135,Country
136,Country
137,Rap
138,Rock
139,Blues
140,Classical
141,Rock
142,Jazz
143,Rock
144,Rock
145,Hip-Hop
146,Country
147,Electronic
148,Rock
149,Country
150,Rock
151,Rock
152,Classical
153,Rock
154,Anime
155,Country
156,Classical
157,Country
158,Country
159,Anime
160,Blues
161,Country
162,Anime
163,Classical
164,Hip-Hop
165,Country
166,Country
167,Alternative
168,Rock
169,Rock
170,Electronic
171,Rap
172,Jazz
173,Blues
174,Alternative
175,Rap
176,Country
177,Country
178,Anime
179,Classical
180,Electronic
181,Jazz
182,Anime
183,Jazz
184,Rock
185,Rap
186,Electronic
187,Rock
188,Rap
189,Hip-Hop
190,Jazz
